sentence_id,lemma,form,voice,case_pattern,argument_count,arguments
47587,γεννάω,ἐγέννησεν,active,INTR,0,[]
47588,γεννάω,ἐγέννησεν,active,INTR,0,[]
47589,γεννάω,ἐγέννησεν,active,INTR,0,[]
47590,γεννάω,ἐγέννησεν,active,INTR,0,[]
47591,γεννάω,ἐγέννησεν,active,INTR,0,[]
47592,γεννάω,ἐγέννησεν,active,INTR,0,[]
47593,γεννάω,ἐγέννησεν,active,INTR,0,[]
47594,γεννάω,ἐγέννησεν,active,INTR,0,[]
47595,γεννάω,ἐγέννησεν,active,INTR,0,[]
47596,γεννάω,ἐγέννησεν,active,INTR,0,[]
47597,γεννάω,ἐγέννησεν,active,INTR,0,[]
47598,γεννάω,ἐγέννησεν,active,INTR,0,[]
47599,γεννάω,ἐγέννησεν,active,INTR,0,[]
47600,γεννάω,ἐγέννησεν,active,INTR,0,[]
47601,γεννάω,ἐγέννησεν,active,INTR,0,[]
47602,γεννάω,ἐγέννησεν,active,INTR,0,[]
47603,γεννάω,ἐγέννησεν,active,INTR,0,[]
47604,γεννάω,ἐγέννησεν,active,INTR,0,[]
47605,γεννάω,ἐγέννησεν,active,INTR,0,[]
47606,γεννάω,ἐγέννησεν,active,INTR,0,[]
47607,γεννάω,ἐγέννησεν,active,INTR,0,[]
47608,γεννάω,ἐγέννησεν,active,INTR,0,[]
47609,γεννάω,ἐγέννησεν,active,INTR,0,[]
47610,γεννάω,ἐγέννησεν,active,INTR,0,[]
47611,γεννάω,ἐγέννησεν,active,INTR,0,[]
47612,γεννάω,ἐγέννησεν,active,INTR,0,[]
47613,γεννάω,ἐγέννησεν,active,INTR,0,[]
47614,γεννάω,ἐγέννησεν,active,INTR,0,[]
47615,γεννάω,ἐγέννησεν,active,INTR,0,[]
47616,γεννάω,ἐγέννησεν,active,INTR,0,[]
47617,γεννάω,ἐγέννησεν,active,INTR,0,[]
47618,γεννάω,ἐγέννησεν,active,INTR,0,[]
47619,γεννάω,ἐγέννησεν,active,INTR,0,[]
47620,γεννάω,ἐγέννησεν,active,INTR,0,[]
47621,γεννάω,ἐγέννησεν,active,INTR,0,[]
47622,γεννάω,ἐγέννησεν,active,INTR,0,[]
47623,γεννάω,ἐγέννησεν,active,INTR,0,[]
47624,γεννάω,ἐγέννησεν,active,INTR,0,[]
47625,γεννάω,ἐγέννησεν,active,INTR,0,[]
47625,γεννάω,ἐγεννήθη,passive,INTR,0,[]
47625,λέγω,λεγόμενος,passive,INTR,0,[]
14676,εἰμί#1,ἦν,active,INTR,0,[]
14677,μνηστεύω,μνηστευθείσης,passive,INTR,0,[]
14677,συνέρχομαι,συνελθεῖν,active,INTR,0,[]
14677,εὑρίσκω,εὑρέθη,passive,INTR,0,[]
14677,ἔχω,ἔχουσα,active,INTR,0,[]
14678,εἰμί#1,ὢν,active,INTR,0,[]
14678,ἐθέλω,θέλων,active,INTR,0,[]
14678,δειγματίζω,δειγματίσαι,active,INTR,0,[]
14678,βούλομαι,ἐβουλήθη,passive,INTR,0,[]
14678,ἀπολύω,ἀπολῦσαι,active,INTR,0,[]
47626,ἐνθυμέομαι,ἐνθυμηθέντος,passive,INTR,0,[]
47626,φαίνω,ἐφάνη,passive,INTR,0,[]
47626,λέγω,λέγων,active,INTR,0,[]
47627,φοβέω,φοβηθῇς,passive,INTR,0,[]
47627,παραλαμβάνω,παραλαβεῖν,active,INTR,0,[]
47628,γεννάω,γεννηθὲν,passive,INTR,0,[]
47628,εἰμί#1,ἐστιν,active,INTR,0,[]
14680,τίκτω,τέξεται,middle,INTR,0,[]
14680,καλέω,καλέσεις,active,INTR,0,[]
14680,σῴζω,σώσει,active,INTR,0,[]
47629,γίγνομαι,γέγονεν,active,INTR,0,[]
47629,πληρόω,πληρωθῇ,passive,INTR,0,[]
47629,λέγω,ῥηθὲν,passive,INTR,0,[]
47629,λέγω,λέγοντος,active,INTR,0,[]
47630,ἔχω,ἕξει,active,INTR,0,[]
47630,τίκτω,τέξεται,middle,INTR,0,[]
47630,καλέω,καλέσουσιν,active,INTR,0,[]
47630,εἰμί#1,ἐστιν,active,INTR,0,[]
47630,μεθερμηνεύω,μεθερμηνευόμενον,passive,INTR,0,[]
14682,ἐγείρω,ἐγερθεὶς,passive,INTR,0,[]
14682,ποιέω,ἐποίησεν,active,INTR,0,[]
14682,προστάσσω,προσέταξεν,active,INTR,0,[]
14682,παραλαμβάνω,παρέλαβεν,active,INTR,0,[]
14683,γιγνώσκω,ἐγίνωσκεν,active,INTR,0,[]
14683,τίκτω,ἔτεκεν,active,INTR,0,[]
14684,καλέω,ἐκάλεσεν,active,INTR,0,[]
47631,γεννάω,γεννηθέντος,passive,INTR,0,[]
47631,παραγίγνομαι,παρεγένοντο,middle,INTR,0,[]
47631,λέγω,λέγοντες,active,INTR,0,[]
47632,εἰμί#1,ἐστιν,active,INTR,0,[]
47632,τίκτω,τεχθεὶς,passive,INTR,0,[]
14686,ὁράω,εἴδομεν,active,INTR,0,[]
14686,ἔρχομαι,ἤλθομεν,active,INTR,0,[]
14686,προσκυνέω,προσκυνῆσαι,active,INTR,0,[]
14687,ἀκούω,ἀκούσας,active,INTR,0,[]
14687,ταράσσω,ἐταράχθη,passive,INTR,0,[]
14687,συνάγω,συναγαγὼν,active,INTR,0,[]
14687,πυνθάνομαι,ἐπυνθάνετο,middle,INTR,0,[]
14687,γεννάω,γεννᾶται,passive,INTR,0,[]
47633,λέγω,εἶπαν,active,INTR,0,[]
14689,γράφω,γέγραπται,passive,INTR,0,[]
14690,εἰμί#1,εἶ,active,INTR,0,[]
14691,ἐξέρχομαι,ἐξελεύσεται,middle,INTR,0,[]
14691,ἡγέομαι,ἡγούμενος,middle,INTR,0,[]
14691,ποιμαίνω,ποιμανεῖ,active,INTR,0,[]
47635,καλέω,καλέσας,active,INTR,0,[]
47635,ἀκριβόω,ἠκρίβωσεν,active,INTR,0,[]
47635,φαίνω,φαινομένου,middle,INTR,0,[]
47635,πέμπω,πέμψας,active,INTR,0,[]
47635,λέγω,εἶπεν,active,INTR,0,[]
47636,πορεύομαι,πορευθέντες,passive,INTR,0,[]
47636,ἐξετάζω,ἐξετάσατε,active,INTR,0,[]
14693,εὑρίσκω,εὕρητε,active,INTR,0,[]
14693,ἀπαγγέλλω,ἀπαγγείλατέ,active,INTR,0,[]
14693,ἔρχομαι,ἐλθὼν,active,INTR,0,[]
14693,προσκυνέω,προσκυνήσω,active,INTR,0,[]
14694,ἀκούω,ἀκούσαντες,active,INTR,0,[]
14694,πορεύομαι,ἐπορεύθησαν,passive,INTR,0,[]
14694,ὁράω,εἶδον,active,INTR,0,[]
14694,προάγω,προῆγεν,active,INTR,0,[]
14694,ἔρχομαι,ἐλθὼν,active,INTR,0,[]
14694,ἵστημι,ἐστάθη,passive,INTR,0,[]
14694,εἰμί#1,ἦν,active,INTR,0,[]
14695,ὁράω,ἰδόντες,active,INTR,0,[]
14695,χαίρω,ἐχάρησαν,passive,INTR,0,[]
14696,ἔρχομαι,ἐλθόντες,active,INTR,0,[]
14696,ὁράω,εἶδον,active,INTR,0,[]
14696,πίπτω,πεσόντες,active,INTR,0,[]
14696,προσκυνέω,προσεκύνησαν,active,INTR,0,[]
14696,ἀνοίγνυμι,ἀνοίξαντες,active,INTR,0,[]
14696,προσφέρω,προσήνεγκαν,active,INTR,0,[]
14697,χρηματίζω,χρηματισθέντες,passive,INTR,0,[]
14697,ἀνακάμπτω,ἀνακάμψαι,active,INTR,0,[]
14697,ἀναχωρέω,ἀνεχώρησαν,active,INTR,0,[]
47637,ἀναχωρέω,Ἀναχωρησάντων,active,INTR,0,[]
47637,φαίνω,φαίνεται,middle,INTR,0,[]
47637,λέγω,λέγων,active,INTR,0,[]
47638,ἐγείρω,ἐγερθεὶς,passive,INTR,0,[]
47638,παραλαμβάνω,παράλαβε,active,INTR,0,[]
47638,φεύγω,φεῦγε,active,INTR,0,[]
47638,εἰμί#1,ἴσθι,active,INTR,0,[]
47638,λέγω,εἴπω,active,INTR,0,[]
14699,μέλλω,μέλλει,active,INTR,0,[]
14699,ζητέω,ζητεῖν,active,INTR,0,[]
14699,ἀπόλλυμι,ἀπολέσαι,active,INTR,0,[]
14700,ἐγείρω,ἐγερθεὶς,passive,INTR,0,[]
14700,παραλαμβάνω,παρέλαβεν,active,INTR,0,[]
14700,ἀναχωρέω,ἀνεχώρησεν,active,INTR,0,[]
14700,εἰμί#1,ἦν,active,INTR,0,[]
14700,πληρόω,πληρωθῇ,passive,INTR,0,[]
14700,λέγω,ῥηθὲν,passive,INTR,0,[]
14700,λέγω,λέγοντος,active,INTR,0,[]
58378,καλέω,ἐκάλεσα,active,INTR,0,[]
14702,ὁράω,ἰδὼν,active,INTR,0,[]
14702,ἐμπαίζω,ἐνεπαίχθη,passive,INTR,0,[]
14702,θυμόω,ἐθυμώθη,passive,INTR,0,[]
14702,ἀποστέλλω,ἀποστείλας,active,INTR,0,[]
14702,ἀναιρέω,ἀνεῖλεν,active,INTR,0,[]
14702,ἀκριβόω,ἠκρίβωσεν,active,INTR,0,[]
47639,πληρόω,ἐπληρώθη,passive,INTR,0,[]
47639,λέγω,ῥηθὲν,passive,INTR,0,[]
47639,λέγω,λέγοντος,active,INTR,0,[]
47640,ἀκούω,ἠκούσθη,passive,INTR,0,[]
14704,κλαίω,κλαίουσα,active,INTR,0,[]
14704,ἐθέλω,ἤθελεν,active,INTR,0,[]
14704,παρακαλέω,παρακληθῆναι,passive,INTR,0,[]
14704,εἰμί#1,εἰσίν,active,INTR,0,[]
47641,τελευτάω,Τελευτήσαντος,active,INTR,0,[]
47641,φαίνω,φαίνεται,middle,INTR,0,[]
47641,λέγω,λέγων,active,INTR,0,[]
47642,ἐγείρω,ἐγερθεὶς,passive,INTR,0,[]
47642,παραλαμβάνω,παράλαβε,active,INTR,0,[]
47642,πορεύομαι,πορεύου,middle,INTR,0,[]
47642,θνῄσκω,τεθνήκασιν,active,INTR,0,[]
47642,ζητέω,ζητοῦντες,active,INTR,0,[]
14706,ἐγείρω,ἐγερθεὶς,passive,INTR,0,[]
14706,παραλαμβάνω,παρέλαβεν,active,INTR,0,[]
14706,εἰσέρχομαι,εἰσῆλθεν,active,INTR,0,[]
14707,ἀκούω,ἀκούσας,active,INTR,0,[]
14707,βασιλεύω,βασιλεύει,active,INTR,0,[]
14707,φοβέω,ἐφοβήθη,passive,INTR,0,[]
14707,ἀπέρχομαι,ἀπελθεῖν,active,INTR,0,[]
14708,χρηματίζω,χρηματισθεὶς,passive,INTR,0,[]
14708,ἀναχωρέω,ἀνεχώρησεν,active,INTR,0,[]
14709,ἔρχομαι,ἐλθὼν,active,INTR,0,[]
14709,κατοικέω,κατῴκησεν,active,INTR,0,[]
14709,λέγω,λεγομένην,passive,INTR,0,[]
14709,πληρόω,πληρωθῇ,passive,INTR,0,[]
14709,λέγω,ῥηθὲν,passive,INTR,0,[]
14709,καλέω,κληθήσεται,passive,INTR,0,[]
47643,παραγίγνομαι,παραγίνεται,middle,INTR,0,[]
47643,κηρύσσω,κηρύσσων,active,INTR,0,[]
47643,λέγω,λέγων,active,INTR,0,[]
47644,μετανοέω,μετανοεῖτε,active,INTR,0,[]
47645,ἐγγίζω,ἤγγικεν,active,INTR,0,[]
14711,εἰμί#1,ἐστιν,active,INTR,0,[]
14711,λέγω,ῥηθεὶς,passive,INTR,0,[]
14711,λέγω,λέγοντος,active,INTR,0,[]
47646,βοάω,βοῶντος,active,INTR,0,[]
47647,ἑτοιμάζω,ἑτοιμάσατε,active,INTR,0,[]
47648,ποιέω,ποιεῖτε,active,INTR,0,[]
47649,ἔχω,εἶχεν,active,INTR,0,[]
47650,εἰμί#1,ἦν,active,INTR,0,[]
14714,ἐκπορεύομαι,ἐξεπορεύετο,middle,INTR,0,[]
14714,βαπτίζω,ἐβαπτίζοντο,passive,INTR,0,[]
14714,ἐξομολογέω,ἐξομολογούμενοι,middle,INTR,0,[]
47651,ὁράω,ἰδὼν,active,INTR,0,[]
47651,ἔρχομαι,ἐρχομένους,middle,INTR,0,[]
47651,λέγω,εἶπεν,active,INTR,0,[]
47652,ὑποδείκνυμι,ὑπέδειξεν,active,INTR,0,[]
47652,φεύγω,φυγεῖν,active,INTR,0,[]
47652,μέλλω,μελλούσης,active,INTR,0,[]
14716,ποιέω,ποιήσατε,active,INTR,0,[]
47653,δοκέω,δόξητε,active,INTR,0,[]
47653,λέγω,λέγειν,active,INTR,0,[]
47654,ἔχω,ἔχομεν,active,INTR,0,[]
47655,λέγω,λέγω,active,INTR,0,[]
47655,δύναμαι,δύναται,middle,INTR,0,[]
47655,ἐγείρω,ἐγεῖραι,active,INTR,0,[]
14718,κεῖμαι,κεῖται,middle,INTR,0,[]
14719,ποιέω,ποιοῦν,active,INTR,0,[]
14719,ἐκκόπτω,ἐκκόπτεται,passive,INTR,0,[]
14719,βάλλω,βάλλεται,passive,INTR,0,[]
14720,βαπτίζω,βαπτίζω,active,INTR,0,[]
14721,ἔρχομαι,ἐρχόμενος,middle,INTR,0,[]
14721,εἰμί#1,ἐστιν,active,INTR,0,[]
14721,εἰμί#1,εἰμὶ,active,INTR,0,[]
14721,βαστάζω,βαστάσαι,active,INTR,0,[]
14722,βαπτίζω,βαπτίσει,active,INTR,0,[]
47656,διακαθαρίζω,διακαθαριεῖ,active,INTR,0,[]
47656,συνάγω,συνάξει,active,INTR,0,[]
47657,κατακαίω,κατακαύσει,active,INTR,0,[]
14724,παραγίγνομαι,παραγίνεται,middle,INTR,0,[]
14724,βαπτίζω,βαπτισθῆναι,passive,INTR,0,[]
14725,διακωλύω,διεκώλυεν,active,INTR,0,[]
14725,λέγω,λέγων,active,INTR,0,[]
14726,ἔχω,ἔχω,active,INTR,0,[]
14726,βαπτίζω,βαπτισθῆναι,passive,INTR,0,[]
14726,ἔρχομαι,ἔρχῃ,middle,INTR,0,[]
47658,ἀποκρίνω,ἀποκριθεὶς,passive,INTR,0,[]
47658,λέγω,εἶπεν,active,INTR,0,[]
47659,ἀφίημι,ἄφες,active,INTR,0,[]
47660,πρέπω,πρέπον,active,INTR,0,[]
47660,εἰμί#1,ἐστὶν,active,INTR,0,[]
47660,πληρόω,πληρῶσαι,active,INTR,0,[]
14728,ἀφίημι,ἀφίησιν,active,INTR,0,[]
14729,βαπτίζω,βαπτισθεὶς,passive,INTR,0,[]
14729,ἀναβαίνω,ἀνέβη,active,INTR,0,[]
14730,ἀνοίγνυμι,ἀνεῴχθησαν,passive,INTR,0,[]
14730,ὁράω,εἶδεν,active,INTR,0,[]
14730,καταβαίνω,καταβαῖνον,active,INTR,0,[]
14730,ἔρχομαι,ἐρχόμενον,middle,INTR,0,[]
47661,λέγω,λέγουσα,active,INTR,0,[]
47662,εἰμί#1,ἐστιν,active,INTR,0,[]
47662,εὐδοκέω,εὐδόκησα,active,INTR,0,[]
14732,ἀνάγω,ἀνήχθη,passive,INTR,0,[]
14732,πειράζω,πειρασθῆναι,passive,INTR,0,[]
14733,νηστεύω,νηστεύσας,active,INTR,0,[]
14733,πεινάω,ἐπείνασεν,active,INTR,0,[]
47663,προσέρχομαι,προσελθὼν,active,INTR,0,[]
47663,πειράζω,πειράζων,active,INTR,0,[]
47663,λέγω,εἶπεν,active,INTR,0,[]
47664,εἰμί#1,εἶ,active,INTR,0,[]
47664,λέγω,εἰπὲ,active,INTR,0,[]
47664,γίγνομαι,γένωνται,middle,INTR,0,[]
47665,ἀποκρίνω,ἀποκριθεὶς,passive,INTR,0,[]
47665,λέγω,εἶπεν,active,INTR,0,[]
47666,γράφω,γέγραπται,passive,INTR,0,[]
47667,ζῶ,ζήσεται,middle,INTR,0,[]
47667,ἐκπορεύομαι,ἐκπορευομένῳ,middle,INTR,0,[]
47668,παραλαμβάνω,παραλαμβάνει,active,INTR,0,[]
47668,ἵστημι,ἔστησεν,active,INTR,0,[]
47668,λέγω,λέγει,active,INTR,0,[]
47669,εἰμί#1,εἶ,active,INTR,0,[]
47669,βάλλω,βάλε,active,INTR,0,[]
14737,γράφω,γέγραπται,passive,INTR,0,[]
58379,ἐντέλλω,ἐντελεῖται,middle,INTR,0,[]
58379,ἀείρω,ἀροῦσίν,active,INTR,0,[]
58379,προσκόπτω,προσκόψῃς,active,INTR,0,[]
47670,φημί,ἔφη,active,INTR,0,[]
47671,γράφω,γέγραπται,passive,INTR,0,[]
47672,ἐκπειράζω,ἐκπειράσεις,active,INTR,0,[]
